country_code,year0,migLower,migMedian,migUpper,popLower,popMedian,popUpper
28,2025,-5880.81597562718,-237.152265554362,4900.72862419001,95973.9688663929,101473.453899596,106893.111068595
28,2030,-7025.3168972925,-413.135475658609,7092.59173876097,93052.0533241172,103979.61919303,115942.851667161
28,2035,-7451.83229090674,-528.959530164312,8151.40262407409,88892.0028257787,105544.319243672,125807.573719689
28,2040,-7668.42523073501,-721.950528166371,9294.30289038387,83028.8990962238,106671.684156776,135200.268076431
28,2045,-7928.95754307807,-605.702225809567,9525.79907434991,77304.7232632682,106591.09614052,145744.056898107
32,2020,24000,24000,24000,45195777,45195777,45195777
32,2025,-436573.728365597,13197.5632837601,453430.911394479,46474361.9267942,47151531.1677484,47874907.0360702
32,2030,-570679.503339681,-6613.1042395996,523269.701003357,47543810.4689651,48989815.9382291,50362250.9597208
32,2035,-605057.479103535,3834.21886173882,650542.806708375,48368627.851913,50660438.0574956,52936815.5274756
32,2040,-625094.968752255,10730.2743718605,681045.838969709,48847924.4025933,52152193.3904459,55488233.2533102
32,2045,-727542.130644552,20938.5316892519,694261.662515412,49047312.6221051,53496847.3430703,58003230.2414131
51,2020,-24989,-24989,-24989,2963234,2963234,2963234
51,2025,-209318.619519042,-21345.4187283906,175920.797635395,2799542.99160822,2993475.95165551,3188377.5548234
51,2030,-238481.52692156,-20169.1031478251,229646.361646631,2620969.92899469,2991073.44690215,3400463.17071477
51,2035,-234762.216863482,-22273.0207404615,229378.598857834,2427796.75781216,2974547.1869618,3596808.60959189
51,2040,-245670.54951183,-18903.134795695,260987.544304581,2240910.80376826,2942418.78710477,3813155.07123435
51,2045,-244922.339059107,-16318.2804772433,273022.25947736,2051311.02875728,2912592.83712545,4023628.09629689
533,2020,1004,1004,1004,106766,106766,106766
533,2025,-12393.3947534654,366.677187267021,15098.7000402875,95335.6157103096,108149.6825284,122922.412680206
533,2030,-13938.0412859984,471.826109363608,16907.0671469422,86944.645075455,108760.604491263,138075.313042686
533,2035,-12937.9694358528,799.523424457905,20217.6451678573,79208.1852252065,109602.502322202,150987.892864067
533,2040,-15623.1505380665,244.598368481068,19202.4685674254,69820.3822952204,108935.575742056,166545.753469654
533,2045,-13580.174582663,487.20229214274,20384.7577792181,64041.2132823004,107694.354069121,179556.163216531
36,2020,791229,791229,791229,25499881,25499881,25499881
36,2025,-153052.641755207,712355.697528272,1553505.22999788,25983286.9020664,26881738.0436412,27782979.5776745
36,2030,-442902.582549738,673348.468247789,1757479.51741086,26270862.716282,28106023.619377,30029726.8377224
36,2035,-581636.319318219,620329.998338329,1933728.31707875,26259194.8049839,29187852.8788451,32327042.7818796
36,2040,-638584.774967386,609458.864714254,2085491.68670981,26097100.259959,30085805.822439,34851527.3786698
36,2045,-867061.501070744,562069.998125163,2241844.13254474,25526197.9435059,30988693.8707132,37377467.5602697
40,2020,324998,324998,324998,9006400,9006400,9006400
40,2025,108055.723925103,279386.018239166,453506.663836964,9090296.46437968,9275012.03165758,9474468.70985712
40,2030,23472.9202196346,233471.604204655,503838.538325184,9101056.12690849,9499174.77718655,9949159.39941706
40,2035,-24555.8491967602,210925.422935455,511675.942896651,9050309.79528287,9677966.67375499,10431138.0749117
40,2040,-61327.06942683,188328.07475603,527278.706336412,8928567.71361332,9806984.66950971,10928695.3043575
40,2045,-89098.7029660161,185688.811032604,543931.852714181,8802783.86393816,9906761.24145836,11442181.923286
31,2020,6002,6002,6002,10139175,10139175,10139175
31,2025,-131238.865880563,-9685.46878906361,125953.017740463,10326170.7325448,10484444.8819265,10655544.2873138
31,2030,-174708.324078595,-19485.084327654,164310.109900744,10377174.8871074,10695745.9913491,11073221.8669898
31,2035,-218825.581921679,-23611.3807746058,177499.325438071,10297974.6906062,10831990.4932822,11477849.6681485
31,2040,-227089.093015738,-33810.1322503397,209981.409234051,10094480.2539664,10888243.2912478,11835368.0527733
31,2045,-254060.785458812,-39833.3908126506,178812.917310364,9857425.68622794,10882427.6001153,12105632.6018469
44,2020,4999,4999,4999,393248,393248,393248
44,2025,-21704.6165023551,4438.49586223853,27658.1835915342,384187.174287773,410136.445384967,434192.603967819
44,2030,-25648.2654612227,4135.23786649351,36054.6352921782,373580.986806974,424565.803873953,475159.562534693
